date,total_precipitation_mm
2022-07-02,2.6650172005986406
2022-07-03,11.113286585896276
2022-07-04,13.356657152343127
2022-07-05,0.9459177918245097
2022-07-06,6.460265055608264
2022-07-07,1.649151453506201
2022-07-08,2.8522887380404427
2022-07-09,5.76018951687729
2022-07-10,4.382830287795521
2022-07-11,1.3442364519278185
2022-07-12,0.8369971919535129
2022-07-13,12.335041204806885
2022-07-14,5.8379415931995045
2022-07-15,0.08104641079852669
2022-07-16,8.73554774460672
2022-07-17,15.537593937551712
2022-07-18,2.1621793739541406
2022-07-19,1.7590133606404414
2022-07-20,2.1720667096474107
2022-07-21,2.8066947693332587
2022-07-22,6.180251343721473
2022-07-23,4.420183434092454
2022-07-24,0.9461931082057861
2022-07-25,1.4457483252101575
2022-07-26,5.995675076746911
2022-07-27,13.81401010851846
